Identyfikator,Projekt,Zgłaszający,Przypisany do,Priorytet,Ważność,Powtarzalność,Wersja produktu,Kategoria,Data zgłoszenia,System operacyjny,Wersja systemu,Platforma,Widoczność,Aktualizacja,Temat,Status,Rozwiązanie,Poprawione w wersji
0002290,przybylskam,przybylskam,,niski,ważny,czasami,,Funkcjonalny,2023-05-30,Windows,10 Pro,Google Chrome/Firefox,prywatny,2023-07-19,"Kliknięcie w nazwę użytkownika, który dodał komentarz w sekcji ""Blog"" przekierowuje na inny adres URL.",nowy,otwarty,
0002287,przybylskam,przybylskam,,niski,drobny,nie dotyczy,,Niefunkcjonalny,2023-05-30,Windows,10 Pro,Google Chrome/Firefox,prywatny,2023-06-01,"Niespójności w walucie pomiędzy informacją o zamówieniach, a ceną produktów na stronie głównej sklepu.",nowy,otwarty,
0002276,przybylskam,przybylskam,,wysoki,ważny,zawsze,,Funkcjonalny,2023-05-30,Windows,10 Pro,Google Chrome/Firefox,prywatny,2023-06-01,"Nieprawidłowe naliczanie kosztów wysyłki, dla zamówień powyżej 90$.",nowy,otwarty,
0002271,przybylskam,przybylskam,,niski,ważny,zawsze,,Funkcjonalny,2023-05-30,Windows,10 Pro,Google Chrome/Firefox,prywatny,2023-06-01,"Błąd strony z zakładki ""Blog"". Po kliknięciu przycisku zakładki ""Blog"" wyświetla się strona z komunikatem ""Nothing Found"".",nowy,otwarty,
0002268,przybylskam,przybylskam,,niski,tekst,zawsze,,Tekstowy,2023-05-30,Windows,10 Pro,Google Chrome,prywatny,2023-06-01,"Literówka w słowie ""Categories"".",nowy,otwarty,
0002261,przybylskam,przybylskam,,niski,drobny,zawsze,,Funkcjonalny,2023-05-30,Windows,10 Pro,Google Chrome/Firefox,prywatny,2023-06-01,Brak możliwości sortowania produktów wg. ceny.,nowy,otwarty,
0002258,przybylskam,przybylskam,,normalny,ważny,zawsze,,Funkcjonalny,2023-05-30,Windows,10 Pro,Google Chrome/Firefox,prywatny,2023-06-01,"Brak możliwości ponownego użycia przycisków ""-"", ""+"" oraz ""Update Cart"" w celu ponownej aktualizacji koszyka.",nowy,otwarty,
0002257,przybylskam,przybylskam,,normalny,ważny,zawsze,,Usability,2023-05-30,Windows,10 Pro,Google Chrome/Firefox,prywatny,2023-06-01,"Nieprawidłowo ustawiona domyślna ilość początkowa produktów, strona gł., zakładka ""All Black Tops"", produkt ""Little Black Top""",nowy,otwarty,
0002256,przybylskam,przybylskam,,wysoki,ważny,zawsze,,Funkcjonalny,2023-05-30,Windows,10 Pro,Google Chrome/Firefox,prywatny,2023-06-01,"Brak możliwości usunięcia produktu z koszyka, przy pomocy przycisku ""x"".",nowy,otwarty,
0002255,przybylskam,przybylskam,,niski,drobny,zawsze,,Usability,2023-05-30,Windows,10 Pro,Google Chrome/Firefox,prywatny,2023-06-01,"Nieprawidłowa kategoryzacja produktów w kategorii ""Shoes"".",nowy,otwarty,
